Utterance	POV Converted Text
please ask CN about the sore throat	hi CN, SCN asks about the sore throat.
ask CN about the programming language	hi CN, SCN demands to know about the programming language.
ask CN how to train the children	hi CN, SCN asks you to train the children.
ask CN about the climate change	hi CN, SCN would like to know about the climatic change.
can you ask CN about the expedition	hi CN, SCN demands to know about the expedition.
please ask CN about shifting room	hi CN, SCN asks about shifting room
can you ask CN about the disclosure	hi CN, SCN likes to know about the disclosure.
could you please ask CN about the truth	hi CN, SCN wishes to know about the truth.
please ask CN about the working hours	hi CN, SCN likes to know about the working hours.
can you ask CN about the public meet	hi CN, SCN wishes to know about the public meet.
could you please ask CN about the scuba diving	hi CN, SCN demands to know about the scuba diving.
ask CN about the weekend plan	hi CN, SCN asks about the weekend plan.
could you please ask CN about the career change	hi CN, SCN likes to know about the career.
ask CN about the power cut	hi CN, SCN wishes to know about the power cut.
ask CN how about ride in audi	hi CN, SCN says how about ride in audi?
can you ask CN how about getting settled in city	hi CN, SCN says how about getting settled in city?
ask CN how about making pancakes	hi CN, SCN says how about making pancakes?
ask CN how about carving in Wood	hi CN, SCN asks how about carving in Wood?
ask CN how about buying quilling tool kit	hi CN, SCN asks how about buying quilling tool kit?
can you ask CN how about learning turkish	hi CN, SCN asks how about learning turkish?
ask CN how about some ripe fruit	hi CN, SCN says how about some ripe fruit?
tell CN, some of the children's toys are broken. 	hi CN, SCN tells some of the children's toys are broken. 
can you tell CN, One of my friends is Sam Brown	hi CN, SCN tells one of their friends is Sam Brown.
tell CN, Tokyo has excellent museums and libraries.	hi CN, SCN tells Tokyo has excellent museums and libraries.
please tell CN Shelley had some soup a salad and a sandwich for lunch. 	hi CN, SCN tells Shelley had some soup a salad and a sandwich for lunch. 
tell CN Amy didn't get any sleep last night because she studied all night for a test. 	hi CN, SCN says Amy didn't get any sleep last night because she studied all night for a test. 
Ask CN Whether my manager knows all the work done by me?	SCN wants to know Whether their manager knows all the work done by them?
Ask CN do they have a proper career path for me?	SCN wants to know if they have a proper career path for them?
Ask CN How the management is tracking all my additional efforts apart from execution and bugs?	SCN is asking How the management is tracking all their additional efforts apart from execution and bugs?
Ask CN How the management is collecting the data for R&R?	SCN is asking How the management is collecting the data for R&R?
Ask CN whose laptop is in the pedestal?	SCN is asking whose laptop is in the pedestal?
Ask CN where is the team devices gone?	SCN is asking where is the team devices gone?
Ask CN Whether the DA's owned the devices before use?	SCN wants to know Whether the DA's owned the devices before use?
Ask CN what time does his mom arrive home?	SCN is asking what time do your mom arrive home?
Ask CN which student won the overall championship?	SCN is asking which student won the overall championship?
Ask CN how do Helen go to school?	SCN is asking how do Helen go to school?
Ask CN how do he feel today?	SCN is asking how do he feel today?
Ask CN Do you consistently achieve positive results?	SCN wants to know if you consistently achieve positive results?
Ask CN Do you complete tasks assigned to you quickly and efficiently?	SCN wants to know if you complete tasks assigned to you quickly and efficiently?
Ask CN Do you have a history of positive interactions with your fellow employees?	SCN wants to know if you have a history of positive interactions with your fellow employees?
Ask CN do you handle conflict professionally?	SCN wants to know if you handle conflict professionally?
Ask CN How do you manage stress among your team members?	SCN is asking How do you manage stress among your team members?
Ask CN How do you handle conflict between team members?	SCN is asking How do you handle conflict between team members?
Ask CN How do you motivate people?	SCN is asking How do you motivate people?
Ask CN who is the president of United states?	SCN is asking who is the president of United states?
Ask CN how does the changes occurred in the institution?	SCN is asking how does the changes occurred in the institution?
Ask CN which is the recently seen movie?	SCN is asking which is the recently seen movie?
Ask CN have you seen the movie joker?	SCN wants to know have you seen the movie joker?
Ask CN who won the R&R for executioner for this quarter?	SCN is asking who won the R&R for executioner for this quarter?
Ask CN who won the oscar award?	SCN is asking who won the oscar award?
Ask CN What time does Prime Minister's question time start?	SCN is asking What time does Prime Minister's question time start?
Ask CN how to solve a rubix's cube?	SCN is asking how to solve a rubix's cube?
Ask CN how to set MRP for the new products?	SCN is asking how to set MRP for the new products?
Ask CN Who is your favorite politician?	SCN is asking Who is your favorite politician?
Ask CN Is there any miss communication among the employees?	SCN asks Is there any miss communication among the employees?
Ask CN do the employees have career growth in the MNC company?	SCN is asking do the employees have career growth in the MNC company?
Ask CN can you service the bike?	SCN is asking can you service the bike?
Ask CN can you pick up the car from the service centre?	SCN is asking can you pick up the car from the service centre?
Ask CN to check the brake system before starting the journey.	SCN asks you to check the brake system before starting the journey.
Ask CN how to learn selenium IDE?	SCN is asking how to learn selenium IDE?
Ask CN what are the technologies used in the manufacturing field?	SCN is asking what are the technologies used in the manufacturing field?
Ask CN What do you usually do when visiting historical places?	SCN is asking What do you usually do when visiting historical places?
Ask CN Which tourist attractions do you prefer when traveling? 	SCN is asking Which tourist attractions do you prefer when traveling? 
Ask CN What is the most famous historical place in your country?	SCN is asking What is the most famous historical place in your country?
Ask CN what are the places to visit in tamil nadu?	SCN is asking what are the places to visit in tamil nadu?
Ask CN the youth should visit historical places more often	SCN wants to tell you that the youth should visit historical places more often
Ask CN how to communicate between components in angular?	SCN is asking you how to communicate between components in angular?
Ask CN how to delete duplicate rows in sql?	SCN is asking you how to delete duplicate rows in sql?
Ask CN whom do you admire the most personally?	SCN is asking whom do you admire the most personally?
Ask CN how to take calculated risk at work? 	SCN is asking you how to take calculated risk at work? 
Ask CN where is the statue of unity?	SCN is asking where is the statue of unity?
Ask CN where did you keep the pass book?	SCN is asking where did you keep the pass book?
Ask CN to tell the cheque number for verification	SCN asks you to tell the cheque number for verification
Ask CN where can we go for feb 14?	SCN is asking where can we go for feb 14?
Ask CN about his valentines day plans	SCN is asking you about your valentines day plans
Ask CN to buy valentines day passes for the club	SCN asks you to buy valentines day passes for the club
Ask CN who is a famous humourous writer?	SCN is asking who is a famous humourous writer?
Ask CN what is Vyommitra?	SCN is asking what is Vyommitra?
Ask CN what is the value of beanie babies value?	SCN is asking what is the value of beanie babies value?
Ask CN do you want me to join you for lunch?	SCN is asking do you want them to join you for lunch?
Ask CN where to study engineering?	SCN is asking where to study engineering?
Ask CN where can we have shelter?	SCN is asking where can we have shelter?
Ask CN which icon needs to be pinned in the taskbar?	SCN is asking which icon needs to be pinned in the taskbar?
Ask CN to provide pendrive to copy the movie	SCN asks you to provide pendrive to copy the movie
Ask CN how to train the students to climb the hills?	SCN is asking how to train the students to climb the hills?
Ask CN how to tackle the chaos in the team with leadership?	SCN is asking how to tackle the chaos in the team with leadership?
Ask CN how to acknowledge the mail from the interviewer?	SCN is asking how to acknowledge the mail from the interviewer?
Ask CN where to write comments in the bugs?	SCN is asking where to write comments in the bugs?
Ask CN what should I collect from the owner?	SCN is asking what should they collect from the owner?
Ask CN what can we do for jim's birthday?	SCN is asking what can we do for jim's birthday?
Ask CN how is your mother?	SCN is asking how is your mother?
Ask CN how to to create a trustful passage between the customers and the workers?	SCN is asking how to to create a trustful passage between the customers and the workers?
Ask CN how to retain the dignity throughout the program?	SCN is asking how to retain the dignity throughout the program?
Ask CN where can we isolate the patients?	SCN is asking where can we isolate the patients?
Ask CN who witness the murder?	SCN is asking who witness the murder?
Ask CN where should the proof of the case submitted?	SCN is asking where should the proof of the case submitted?
Ask CN how to react to the backbite?	SCN is asking how to react to the backbite?
Ask CN how to take lecture without boring?	SCN is asking how to take lecture without boring?
Ask CN what did your dad say for your behaviour in school?	SCN is asking what did your dad say for your behaviour in school?
Ask CN Can I allow rahul inside the house?	SCN wants to know if they Can they allow rahul inside the house?
Ask CN What can I do so that the terrorist cannot escape?	SCN is asking What can they do so that the terrorist cannot escape?
Ask CN where are the terrorist present?	SCN is asking where are the terrorist present?
Ask CN whether the electrician is available in the maintenance department?	SCN is asking whether the electrician is available in the maintenance department?
Ask CN how much should I pay for the electrician?	SCN is asking how much should they pay for the electrician?
Ask CN Is the electrical fault has been corrected?	SCN asks Is the electrical fault has been corrected?
Ask CN did you get the mail from the recruiter?	SCN wants to know if you get the mail from the recruiter?
Ask CN did you attend the interview on Friday?	SCN wants to know if you attend the interview on Friday?
Ask CN How was the interview?	SCN is asking How was the interview?
Ask CN which level are you selected for?	SCN is asking which level are you selected for?
Ask CN did the HR ask you to submit the experience documents?	SCN wants to know if the HR ask you to submit the experience documents?
Ask CN where to return the laptop?	SCN is asking where to return the laptop?
Ask CN which colour dress do you prefer?	SCN is asking which colour dress do you prefer?
Ask CN do you like yelow colour shirt?	SCN wants to know if you like yelow colour shirt?
Ask CN which costume designer designed your wedding suit? 	SCN is asking which costume designer designed your wedding suit? 
Ask CN where is the boutique shop?	SCN is asking where is the boutique shop?
Ask CN to get down from the bus in chennai bus stop	SCN asks you to get down from the bus in chennai bus stop
Ask CN what are the important instructions to handle the hot bag?	SCN is asking what are the important instructions to handle the hot bag?
Ask CN what is the exact time of the departure?	SCN is asking what is the exact time of the departure?
Ask CN what is the theme for the mehandi art?	SCN is asking what is the theme for the mehandi art?
Ask CN what is the reason for the president impeachment?	SCN is asking what is the reason for the president impeachment?
Ask CN what is the decision taken in the career growth meeting?	SCN is asking what is the decision taken in the career growth meeting?
Ask CN how to use scientific calculator?	SCN is asking how to use scientific calculator?
Ask CN how to save readings in the scientific calculator?	SCN is asking how to save readings in the scientific calculator?
Ask CN how to put calculation for spectrometer experiment?	SCN is asking how to put calculation for spectrometer experiment?
Ask CN what do you mean by payee?	SCN is asking what do you mean by payee?
Ask CN who are all joining as a partner for the business?	SCN is asking who are all joining as a partner for the business?
Remind CN to receive the examination papers from the professor	Hi CN, SCN reminds you to receive the examination papers from the professor
Remind CN to come to the science lab by 9.00 am	Hi CN, SCN reminds you to come to the science lab by 9.00 am
Remind CN to meet the lab technician today	Hi CN, SCN reminds you to meet the lab technician today
Remind CN to meet the librarian tomorrow	Hi CN, SCN reminds you to meet the librarian tomorrow
Remind CN to buy a gold chain from grt jewellery	Hi CN, SCN reminds you to buy a gold chain from grt jewellery
Remind CN to order the book from amazon	Hi CN, SCN reminds you to order the book from amazon
Remind CN to upload the video today	Hi CN, SCN reminds you to upload the video today
Remind CN to make a call to the plumber by this week	Hi CN, SCN reminds you to make a call to the plumber by this week
Remind CN to book tickets for the live dance show	Hi CN, SCN reminds you to book tickets for the live dance show
Remind CN to cancel the alarm	Hi CN, SCN reminds you to cancel the alarm
Ask CN if they prefer dine in or delivery	Hi CN, SCN is asking whether they prefer dine in or delivery
Ask CN if they prefer book or ebook	Hi CN, SCN is asking whether they prefer book or ebook
Ask CN if they like to watch TV shows or movies	Hi CN, SCN is asking whether they like to watch TV shows or movies
Ask CN if they want to buy sweater or a hoodie	Hi CN, SCN is asking whether they want to buy sweater or a hoodie
Ask CN if they want to hang out on summer or winter season	Hi CN, SCN is asking whether they want to hang out on summer or winter season
Ask CN if you like classical art or modern art	Hi CN, SCN is asking whether you like classical art or modern art
Ask CN if you want to buy kindle or audible	Hi CN, SCN is asking whether you want to buy kindle or audible
Ask CN if you want to get meat or vegetables	Hi CN, SCN is asking whether you want to get meat or vegetables
Ask CN if you want coke or pepsi	Hi CN, SCN is asking whether you want coke or pepsi
Ask CN if you want to watch the movie online or go to theatre	Hi CN, SCN is asking whether you want to watch the movie online or go to theatre
Remind CN to add extra questions for the exam	Hi CN, SCN reminds you to add extra questions for the exam
Remind CN to deposit the cheque tomorrow	Hi CN, SCN reminds you to deposit the cheque tomorrow
Remind CN to feed the birds	Hi CN, SCN reminds you to feed the birds
Remind CN to buy a knife	Hi CN, SCN reminds you to buy a knife
Remind CN to complete the survey by 10.00 am	Hi CN, SCN reminds you to complete the survey by 10.00 am
Remind CN to change the phone password	Hi CN, SCN reminds you to change the phone password
Remind CN to get a gift cover	Hi CN, SCN reminds you to get a gift cover
Remind CN to attach extra excel sheets to the presentation	Hi CN, SCN reminds you to attach extra excel sheets to the presentation
Remind CN to install wynk music application 	Hi CN, SCN reminds you to install wynk music application 
Remind CN to clean the kitchen today	Hi CN, SCN reminds you to clean the kitchen today
Tell CN that my manager granted leave for two days	Hi CN, SCN says that their manager granted leave for two days
Tell CN that the food is prepared	Hi CN, SCN says that the food is prepared
Tell CN that henry has been admitted to the hospital	Hi CN, SCN says that henry has been admitted to the hospital
Tell CN that I can access the web portal now	Hi CN, SCN says that they can access the web portal now
Tell CN that the payment has been declined	Hi CN, SCN says that the payment has been declined
Tell CN that the food has been delivered to the restaurant	Hi CN, SCN says that the food has been delivered to the restaurant
Tell CN that all the answers are correct	Hi CN, SCN says that all the answers are correct
Tell CN that the dataset has been collected	Hi CN, SCN says that the dataset has been collected
Tell CN that the engagement has started	Hi CN, SCN says that the engagement has started
Tell CN that the internet has been curbed in certain cities	Hi CN, SCN says that the internet has been curbed in certain cities
Remind CN to write a java program 	Hi CN, SCN reminds you to write a java program 
Remind CN to buy contact lenses from lenskart	Hi CN, SCN reminds you to buy contact lenses from lenskart
Remind CN to create a group on facebook today	Hi CN, SCN reminds you to create a group on facebook today
Remind CN to meet the new director of the company	Hi CN, SCN reminds you to meet the new director of the company
Remind CN to change the caption	Hi CN, SCN reminds you to change the caption
Remind CN to resolve the issue by this week	Hi CN, SCN reminds you to resolve the issue by this week
Remind CN to attend the online test at 2.00 pm	Hi CN, SCN reminds you to attend the online test at 2.00 pm
Remind CN to take the medicines when she goes for work today	Hi CN, SCN reminds you to take the medicines when you go for work today
Remind CN to visit food fair at Santa Clara	Hi CN, SCN reminds you to visit food fair at Santa Clara
Remind CN to sell the old books 	Hi CN, SCN reminds you to sell the old books 
Ask CN what will happen if the team loses this time	Hi CN, SCN asks what will happen if the team loses this time
Ask CN when will the party end	Hi CN, SCN asks when will the party end
Ask CN where is the coffee bar	Hi CN, SCN asks where is the coffee bar
Ask CN whom do you like to interview	Hi CN, SCN asks whom do you like to interview
Ask CN whose jacket is this 	Hi CN, SCN asks whose jacket is this 
Ask CN how is your new job	Hi CN, SCN asks how is your new job
Ask CN what happened to Peter yesterday	Hi CN, SCN asks what happened to Peter yesterday
Ask CN when will you get up tomorrow	Hi CN, SCN asks when will you get up tomorrow
Ask CN how many resources are present today for the meeting	Hi CN, SCN asks how many resources are present today for the meeting
Ask CN who would you like to travel with	Hi CN, SCN asks who would you like to travel with
Remind CN to compare the prices of mobiles before she buys	Hi CN, SCN reminds you to compare the prices of mobiles before you buy
Remind CN to complete the test within 15 minutes	Hi CN, SCN reminds you to complete the test within 15 minutes
Remind CN to attend the blood donation camp at srm hospital	Hi CN, SCN reminds you to attend the blood donation camp at srm hospital
Remind CN to wash all the bedspreads today	Hi CN, SCN reminds you to wash all the bedspreads today
Remind CN to fill and send all the forms to the department head	Hi CN, SCN reminds you to fill and send all the forms to the department head
Remind CN to reraise ticket for the lost identity card	Hi CN, SCN reminds you to reraise ticket for the lost identity card
Remind CN to buy flower pots today	Hi CN, SCN reminds you to buy flower pots today
Remind CN to make a call to the team lead today	Hi CN, SCN reminds you to make a call to the team lead today
Remind CN to unlock the system	Hi CN, SCN reminds you to unlock the system
Remind CN to apply for the data analyst interview	Hi CN, SCN reminds you to apply for the data analyst interview
Ask CN did you go to Canada last week	Hi CN, SCN is asking did you go to Canada last week
Ask CN do you want coke	Hi CN, SCN is asking do you want coke
Ask CN do you like Burmese food	Hi CN, SCN is asking do you like Burmese food
Ask CN does it rain a lot in the South	Hi CN, SCN is asking does it rain a lot in the South
Ask CN does SCN speak French	Hi CN, SCN is asking does SCN speak French
Ask CN do you need dictionary	Hi CN, SCN is asking do you need dictionary
Ask CN does she like chocolate	Hi CN, SCN is asking do you like chocolate
Ask CN does SCN speak French	Hi CN, SCN is asking does SCN speak French
Ask CN do your family visit you often	Hi CN, SCN is asking do your family visit you often
Ask CN does it rain frequently this winter	Hi CN, SCN is asking does it rain frequently this winter
Remind CN to change the toothpaste from tomorrow	Hi CN, SCN reminds you to change the toothpaste from tomorrow
Remind CN to buy google chromecast 	Hi CN, SCN reminds you to buy google chromecast 
Remind CN to reapply for the post	Hi CN, SCN reminds you to reapply for the post
Remind CN to visit the Canara bank today	Hi CN, SCN reminds you to visit the Canara bank today
Remind CN to get home made chocolates from Ooty	Hi CN, SCN reminds you to get home made chocolates from Ooty
Remind CN to create an account on Twitter	Hi CN, SCN reminds you to create an account on Twitter
Remind CN to log out from her Linkedin profile	Hi CN, SCN reminds you to log out from your Linkedin profile
Remind CN to apply for pan card as soon as possible	Hi CN, SCN reminds you to apply for pan card as soon as possible
Remind CN to add 2 packets of sugar to the mango milkshake	Hi CN, SCN reminds you to add 2 packets of sugar to the mango milkshake
Remind CN to take diabetes pills tonight	Hi CN, SCN reminds you to take diabetes pills tonight
Ask CN about the number of check-ins made at Taj hotel	Hi CN, SCN asks about the number of check-ins made at Taj hotel
Ask CN about the accuracy of the document	Hi CN, SCN asks about the accuracy of the document
Ask CN about the limits of tax exemptions	Hi CN, SCN asks about the limits of tax exemptions
Ask CN about the total subscribers since last year	Hi CN, SCN asks about the total subscribers since last year
Ask CN about the updates of the process	Hi CN, SCN asks about the updates of the process
Tell CN that SCN should quit smoking	Hi CN, SCN says that SCN should quit smoking
Tell CN that I have bought 2 dozens of apples today	Hi CN, SCN says that they have bought 2 dozens of apples today
Tell CN that the toppers have been awarded today	Hi CN, SCN says that the toppers have been awarded today
Tell CN that the notes have been added 	Hi CN, SCN says that the notes have been added 
Tell CN that the websites have been blocked	Hi CN, SCN says that the websites have been blocked
remind CN to take text books while going to school	hi CN, SCN wants you to take text books while going to school
remind CN to practice dance in the morning from 8 to 10am	hey CN, SCN asks you to practice dance in the morning from 8 to 10am
remind CN to heat the food before harry gets home	hi CN, SCN requests you to heat the food before harry gets home
remind CN to make video call to jane this evening	hi CN SCN is asking you to make video call to jane this evening
remind CN to reserve ten rooms in radison blu restaurant in tacoma	hi CN, SCN is requesting you to reserve ten rooms in radison blu restaurant in tacoma
remind CN to uninstall the truecaller app 	hi CN, SCN wants you to uninstall the truecaller app 
remind CN to go to the hotel at 11pm	hey CN, SCN asks you to go to the hotel at 11pm
tell CN to go to the post office and post the letters 	hi CN, SCN requests you to go to the post office and post the letters 
remind CN to play him till half time and make a change	hi CN SCN is asking you to play him till half time and make a change
tell CN to transfer the money soon	hi CN, SCN wants you to transfer the money soon
remind CN to scramble the letters for the competition tomorrow	hey CN, SCN asks you to scramble the letters for the competition tomorrow
remind CN to drink hot water	hi CN, SCN requests you to drink hot water
remind CN to begin the project with a proper plan	hi CN SCN is asking you to begin the project with a proper plan
remind CN to take an apple and a glass of water every morning	hi CN, SCN is requesting you to take an apple and a glass of water every morning
remind CN to check the uploaded file and acknowledge them	hi CN, SCN wants you to check the uploaded file and acknowledge them
tell CN to share the social media links in the job portal	hey CN, SCN asks you to share the social media links in the job portal
remind CN to choose elective subjects based on the staffs	hi CN, SCN requests you to choose elective subjects based on the staffs
remind CN to give money for charity today	hi CN SCN is asking you to give money for charity today
remind CN to take snacks from the vending machine	hi CN, SCN wants you to take snacks from the vending machine
remind CN to take a quick sleep at 4:30pm	hey CN, SCN asks you to take a quick sleep at 4:30pm
remind CN to study after returning from office	hi CN, SCN requests you to study after returning from office
remind CN to pick up some pencils and brushes from the stationery shop	hi CN SCN is asking you to pick up some pencils and brushes from the stationery shop
remind CN to take adrian to the hockey match this evening	hi CN, SCN is requesting you to take adrian to the hockey match this evening
remind CN to make curd from the milk	hey CN, SCN asks you to make curd from the milk
remind CN to peel off the stickers from the wall	hi CN, SCN requests you to peel off the stickers from the wall
remind CN to get ready in the early morning	hi CN SCN is asking you to get ready in the early morning
remind CN to take feedbacks regularly 	hi CN, SCN wants you to take feedbacks regularly 
remind CN to come and collect the rent today at 5pm	hi CN, SCN requests you to go and collect the rent today at 5pm
remind CN to apply for the testing job	hi CN, SCN asks you to apply for the testing job
tell CN to get coffee machine today evening	hi CN, SCN is asking you to get coffee machine today evening
remind CN to take a basket while going to supermarket	hey CN, SCN requests you to take a basket while going to supermarket
remind CN to buy some sweet corn on the way to home	hi CN, SCN is asking you to buy some sweet corn on the way to home
remind CN to send the completed wedding video by end of the day	hey CN, SCN wants you to send the completed wedding video by end of the day
remind CN to invite andrew to join coaching	hi CN, SCN is requesting you to invite andrew to join coaching
tell CN to order encyclopedia book online	hi CN, SCN asks you to order encyclopedia book online
remind CN to check the water purity after drinking	hey CN, SCN wants you to check the water purity after drinking
remind CN to order gift cards for the employees	hi CN, SCN is asking you to order gift cards for the employees
tell CN to lock the play room door 	hey CN, SCN requests you to lock the play room door 
tell CN to get chicken from KFC in tacoma	hi CN, SCN is asking you to get chicken from KFC in tacoma
ask CN to sweap the storeroom every week	hi CN, SCN is requesting you to sweap the storeroom every week
remind CN to drink cough syrup before sleep	hi CN, SCN asks you to drink cough syrup before sleep
remind CN to call danny from his hometown	hey CN, SCN wants you to call danny from his hometown
remind CN to pay the employees before december	hi CN, SCN is asking you to pay the employees before december
remind CN to make ten knitted basket a day	hey CN, SCN requests you to do ten knitted basket a day
remind CN to give ideas to football management	hi CN, SCN is asking you to give ideas to football management
tell CN to gain weight before abu's engagement	hi CN, SCN is requesting you to gain weight before abu's engagement
remind CN to buy a towel online	hi CN, SCN asks you to buy a towel online
tell CN to try a new dish this week	hey CN, SCN wants you to try a new dish this week
remind CN to inform the flaw in the application to the developer	hi CN, SCN is requesting you to inform the flaw in the application to the developer
tell CN to wear the slippers instead of shoes tomorrow	hey CN, SCN wants you to wear the slippers instead of shoes tomorrow
tell CN to write detailed essay on the subject	hi CN, SCN is asking you to write detailed essay on the subject
remind CN to avoid eating junk foods	hey CN, SCN requests you to avoid eating junk foods
tell CN to stop smoking	hi CN, SCN is asking you to stop smoking
remind CN to subscribe the youtube channel tomorrow	hey CN, SCN wants you to subscribe the youtube channel tomorrow
tell CN I am creating animations	hi CN, SCN tells that they are creating animations
remind CN to look for the best pair of shoes by tomorrow	HI CN, SCN reminds you to look for the best pair of shoes by tomorrow
remind CN to do the calculation this evening	hey CN, SCN reminds you to do the calculation this evening
can you tell CN to guide wesley to the mall	hi CN, SCN asks you to guide wesley to the mall
remind CN to change the chain sprocket in the bike by tomorrow	hey CN, SCN requests you to change the chain sprocket in the bike by tomorrow
remind CN to come to the baptism this evening	hey CN, SCN is requesting you to come to the baptism this evening
remind CN to grind the vegetables by using the mixie	hey CN, SCN reminds you to grind the vegetables by using the mixie
remind CN to prepare the materials for studying tonight	hi CN, SCN asks you to prepare the materials for studying tonight
remind CN to allocate the task to the available resources	hey CN, SCN requests you to allocate the task to the available resources
remind CN to pay for the loan before january	hey CN, SCN is requesting you to pay the loan before january
tell CN to broadcast the message to everyone in the team	hey CN, SCN requests you to broadcast the message to everyone in the team
remind CN to pay the library fine within this week	hey CN, SCN is requesting you to pay the library fine within this week
tell CN to order lamb meat for the dinner tonight	hey CN, SCN requests you to order lamb meat for the dinner tonight
remind CN to return the damaged pakage by today	hi CN, SCN asks you to return the damaged pakage by today
remind CN to fry some fish for dinner	hey CN, SCN is requesting you to fry some fish for dinner
remind CN to participate in the karaoke night contest	hey CN, SCN reminds you to participate in the karaoke night contest
remind CN to buy some glue to make crafts	hey CN, SCN wants you to buy some glue to make crafts
remind CN to take down all the posters today	hey CN, SCN reminds you to take down all the posters today
remind CN to dust the attic tomorrow evening	hi CN, SCN asks you to dust the attic tomorrow evening
tell CN to replace the processor with the new one	hey CN, SCN wants you to replace the processor with the new one
remind CN to shower the dog today	hey CN, SCN is requesting you to shower the dog today
can you remind CN to start the game from the checkpoint	hey CN, SCN requests you to start the game from the checkpoint
remind CN to vacate the house at 8am	hey CN, SCN reminds you to vacate the house at 8am
tell CN to go to the tea shop after reaching the bus stop	hi CN, SCN asks you to go to the tea shop after reaching the bus stop
tell CN to wait in the queue for 5 minutes	hey CN, SCN requests you to wait in the queue for 5 minutes
remind CN to take an extra shift	hey CN, SCN requests you to take an extra shift
remind CN to cover the windows with curtains	hey CN, SCN reminds you to cover the windows with curtains
remind CN to reorganize the kitchen after cooking	hi CN, SCN asks you to reorganize the kitchen after cooking
tell CN to use non plastic products	hey CN, SCN wants you to use non plastic products
tell CN to rinse the rice before cooking it	hey CN, SCN requests you to rinse the rice before cooking it
tell CN to count the device by using scanner	hey CN, SCN reminds you to count the device by using scanner
tell CN to clean the room after organizing	hey CN, SCN wants you to clean the room after organizing
remind CN to attend the workshop in photoshop	hey CN, SCN is requesting you to attend the workshop in photoshop
remind CN to plan for the valentines day	hi CN, SCN asks you to plan for the valentines day
tell CN to clear the bank exam in this attempt	hey CN, SCN is requesting you to clear the bank exam in this attempt
remind CN to start researching about pollution	hey CN, SCN reminds you to start researching about pollution
remind CN to go to the bike race at besent nagar	hey CN, SCN wants you to go to the bike race at besent nagar
tell CN to start learning blockchaining today	hey CN, SCN requests you to start learning blockchaining today
remind CN to repair the broken juicer tomorrow	hey CN, SCN is requesting you to repair the broken juicer tomorrow
tell CN to take sweater while going for a trip to himalayas	hi CN, SCN asks you to take sweater while going for a trip to himalayas
ask CN do you like to play squash or tennis	hi CN, SCN asks whether you like to play squash or tennis
ask CN whether his mom prefer long or trimmed hair	hi CN, SCN asks whether your mom prefer long or trimmed hair
ask CN about the situation	hi CN, SCN asks about the situation
ask CN about todays special dish	hi CN, SCN is asking about todays special dish
tell CN that I am not going to cut my hair today	hey CN, SCN says that they are not going to cut their hair today
remind CN that there is a pawn shop at madurai	hey CN, SCN says that there is a pawn shop at madurai
tell CN that the airport is located near to my house	hey CN, SCN wants to tell that the airport is located near to their house
tell CN there are no more hotel rooms left	hi CN, SCN wants you to know that there are no more hotel rooms left
Ask CN, how to calculate marks out of fifty percent?	Hi CN, SCN is asking how to calculate marks out of fifty percent
Ask CN, how long do you guys live here?	Hi CN, SCN is asking how long do you guys live here
Ask CN, how was the party yesterday?	Hi CN, SCN is asking how was the party yesterday 
Ask CN, how long will it take to complete the assignment?	Hi CN, SCN is asking how long will it take to complete the assignment
Ask CN, how much should we pay for the cosmetics?	Hi CN, SCN is asking how much should we pay for the cosmetics
Ask CN, how do you practice yoga?	Hi CN, SCN is asking how do you practice yoga
Ask CN, how well do you guys know each other?	Hi CN, SCN is asking how well do you guys know each other
Ask CN, how to make money?	Hi CN, SCN is asking how to make money
Ask CN, how to start a business?	Hi CN, SCN is asking 
Ask CN, how to invest in the share market?	Hi CN, SCN is asking how to invest in the share market
Ask CN, how long do you boil cauliflower?	Hi CN, SCN is asking how long do you boil cauliflower
Ask CN, how to cook broccoli on the stove?	Hi CN, SCN is asking how to cook broccoli on the stove
Ask CN, how long will it take for mom to reach home?	Hi CN, SCN is asking how long will it take for mom to reach home
Ask CN, how to boil eggs in microwave?	Hi CN, SCN is asking 
Ask CN, how one can change their attitude?	Hi CN, SCN is asking how one can change their attitude
Ask CN, how to apply for the face exam?	Hi CN, SCN is asking how to apply for the face exam
Ask CN, how to keep your body hydrated?	Hi CN, SCN is asking how to keep your body hydrated
Ask CN, how to bake a cake in microwave?	Hi CN, SCN is asking how to bake a cake in microwave
Ask CN, how tall is giraffe?	Hi CN, SCN is asking how tall is giraffe
Ask CN, how to manage our goals?	Hi CN, SCN is asking how to manage our goals
Ask CN, how to stay calm?	Hi CN, SCN is asking how to stay calm
Ask CN, how long will it take to reach the eiffel tower?	Hi CN, SCN is asking how long will it take to reach the eiffel tower
Ask CN, how many chocolates are there in the fridge?	Hi CN, SCN is asking how many chocolates are there in the fridge
Ask CN, how many friends are coming for the DJ party?	Hi CN, SCN is asking how many friends are coming for the DJ party
Ask CN, how much milk is required for making sweets?	Hi CN, SCN is asking how much milk is required for making sweets
Ask CN, how much money do you have?	Hi CN, SCN is asking how much money do you have
Ask CN, how many stars are there in the sky?	Hi CN, SCN is asking how many stars are there in the sky
Ask CN, how many almonds can we eat in a day?	Hi CN, SCN is asking how many almonds can we eat in a day
Ask CN, how much water to drink in a day?	Hi CN, SCN is asking how much water to drink in a day
Ask CN, how many countries are there in the world?	Hi CN, SCN is asking how many countries are there in the world
Ask CN, how to play music ?	Hi CN, SCN is asking how to play music 
